img_id,img_filename,y,split,place,place_filename,Water,has_bill_shape_dagger,has_bill_shape_hooked_seabird,has_bill_shape_allpurpose,has_bill_shape_cone,has_wing_color_brown,has_wing_color_grey,has_wing_color_yellow,has_wing_color_black,has_wing_color_white,has_wing_color_buff,has_upperparts_color_brown,has_upperparts_color_grey,has_upperparts_color_yellow,has_upperparts_color_black,has_upperparts_color_white,has_upperparts_color_buff,has_underparts_color_brown,has_underparts_color_grey,has_underparts_color_yellow,has_underparts_color_black,has_underparts_color_white,has_underparts_color_buff,has_breast_pattern_solid,has_breast_pattern_striped,has_breast_pattern_multicolored,has_back_color_brown,has_back_color_grey,has_back_color_yellow,has_back_color_black,has_back_color_white,has_back_color_buff,has_tail_shape_notched_tail,has_upper_tail_color_brown,has_upper_tail_color_grey,has_upper_tail_color_black,has_upper_tail_color_white,has_upper_tail_color_buff,has_head_pattern_plain,has_head_pattern_capped,has_breast_color_brown,has_breast_color_grey,has_breast_color_yellow,has_breast_color_black,has_breast_color_white,has_breast_color_buff,has_throat_color_grey,has_throat_color_yellow,has_throat_color_black,has_throat_color_white,has_eye_color_black,has_bill_length_about_the_same_as_head,has_bill_length_shorter_than_head,has_forehead_color_blue,has_forehead_color_brown,has_forehead_color_grey,has_forehead_color_yellow,has_forehead_color_black,has_forehead_color_white,has_forehead_color_red,has_under_tail_color_brown,has_under_tail_color_grey,has_under_tail_color_yellow,has_under_tail_color_black,has_under_tail_color_white,has_under_tail_color_buff,has_nape_color_blue,has_nape_color_brown,has_nape_color_grey,has_nape_color_yellow,has_nape_color_black,has_nape_color_white,has_nape_color_buff,has_belly_color_grey,has_belly_color_yellow,has_belly_color_black,has_belly_color_white,has_belly_color_buff,has_wing_shape_roundedwings,has_size_small_5__9_in,has_size_medium_9__16_in,has_size_very_small_3__5_in,has_shape_perchinglike,has_back_pattern_solid,has_back_pattern_striped,has_back_pattern_multicolored,has_tail_pattern_solid,has_tail_pattern_multicolored,has_belly_pattern_solid,has_primary_color_brown,has_primary_color_grey,has_primary_color_yellow,has_primary_color_black,has_primary_color_white,has_primary_color_buff,has_leg_color_grey,has_leg_color_black,has_leg_color_buff,has_bill_color_grey,has_bill_color_black,has_crown_color_blue,has_crown_color_brown,has_crown_color_grey,has_crown_color_yellow,has_crown_color_black,has_crown_color_white,has_wing_pattern_solid,has_wing_pattern_striped,has_wing_pattern_multicolored,has_ocean,has_lake,has_bamboo,has_forest
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,2,1,/o/ocean/00002178.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,0,1,/l/lake/natural/00000065.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,2,0,/b/bamboo_forest/00000131.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,0,1,/o/ocean/00001268.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,0,1,/o/ocean/00003147.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,2,1,/l/lake/natural/00002698.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,0,1,/o/ocean/00003917.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,1,/o/ocean/00001505.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,0,1,/l/lake/natural/00000560.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,2,1,/o/ocean/00002073.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
